,,,,,reach_x, impressions_x, amount_x, clicks_x, cpreach_x, cpm_x, engagement_x, cpr_x,reach_y, impressions_y, amount_y, clicks_y, cpreach_y, cpm_y, engagement_y, cpr_y,outcome
232.00,4063.00,4348.00,4.00,839.53,1.07,89.00,9.43,2.05,206.63,193.08,52.00,209.88,1.07,89.00,9.43,2.05,206.63,193.08,52.00,209.88,214.99
76.00,1375.00,1461.00,7.00,82.21,1.06,123.00,0.67,8.42,59.79,56.27,42.00,11.74,1.06,123.00,0.67,8.42,59.79,56.27,42.00,11.74,28.05
598.00,672.00,747.00,1.00,1761.47,1.11,9.00,195.72,1.20,2621.24,2358.06,7.00,1761.47,1.11,9.00,195.72,1.20,2621.24,2358.06,7.00,1761.47,1674.82
454.00,1194.00,1286.00,1.00,379.88,1.08,63.00,6.03,4.90,318.16,295.40,19.00,379.88,1.08,63.00,6.03,4.90,318.16,295.40,19.00,379.88,375.31
1015.00,5910.00,6754.00,14.00,572.38,1.14,337.00,1.70,4.99,96.85,84.75,198.00,40.88,1.14,337.00,1.70,4.99,96.85,84.75,198.00,40.88,53.97
201.00,3378.00,4205.00,25.00,314.43,1.24,186.00,1.69,4.42,93.08,74.78,63.00,12.58,1.24,186.00,1.69,4.42,93.08,74.78,63.00,12.58,29.39
949.00,610.00,616.00,4.00,123.61,1.01,19.00,6.51,3.08,202.64,200.67,13.00,30.90,1.01,19.00,6.51,3.08,202.64,200.67,13.00,30.90,46.62
677.00,9148.00,9379.00,4.00,595.12,1.03,84.00,7.08,0.90,65.05,63.45,95.00,148.78,1.03,84.00,7.08,0.90,65.05,63.45,95.00,148.78,157.01
298.00,4875.00,5449.00,25.00,287.10,1.12,203.00,1.41,3.73,58.89,52.69,92.00,11.48,1.12,203.00,1.41,3.73,58.89,52.69,92.00,11.48,28.01
513.00,11408.00,11499.00,15.00,803.03,1.01,233.00,3.45,2.03,70.39,69.83,491.00,53.54,1.01,233.00,3.45,2.03,70.39,69.83,491.00,53.54,60.15
659.00,2823.00,3232.00,3.00,498.24,1.14,145.00,3.44,4.49,176.49,154.16,123.00,166.08,1.14,145.00,3.44,4.49,176.49,154.16,123.00,166.08,173.42
381.00,10168.00,10305.00,13.00,930.48,1.01,235.00,3.96,2.28,91.51,90.29,255.00,71.58,1.01,235.00,3.96,2.28,91.51,90.29,255.00,71.58,84.35
132.00,1721.00,1909.00,3.00,513.50,1.11,63.00,8.15,3.30,298.37,268.99,321.00,171.17,1.11,63.00,8.15,3.30,298.37,268.99,321.00,171.17,174.38
523.00,7866.00,8297.00,9.00,924.46,1.05,244.00,3.79,2.94,117.53,111.42,333.00,102.72,1.05,244.00,3.79,2.94,117.53,111.42,333.00,102.72,110.92
560.00,4294.00,4425.00,5.00,578.47,1.03,34.00,17.01,0.77,134.72,130.73,42.00,115.69,1.03,34.00,17.01,0.77,134.72,130.73,42.00,115.69,125.95
119.00,5030.00,5109.00,5.00,804.45,1.02,66.00,12.19,1.29,159.93,157.46,103.00,160.89,1.02,66.00,12.19,1.29,159.93,157.46,103.00,160.89,168.70
195.00,2296.00,2422.00,3.00,817.15,1.05,55.00,14.86,2.27,355.90,337.39,37.00,272.38,1.05,55.00,14.86,2.27,355.90,337.39,37.00,272.38,274.27
161.00,5814.00,8040.00,3.00,785.98,1.38,204.00,3.85,2.54,135.19,97.76,71.00,261.99,1.38,204.00,3.85,2.54,135.19,97.76,71.00,261.99,264.16
115.00,1068.00,1157.00,1.00,523.08,1.08,45.00,11.62,3.89,489.78,452.10,203.00,523.08,1.08,45.00,11.62,3.89,489.78,452.10,203.00,523.08,511.09
991.00,3633.00,4036.00,7.00,349.62,1.11,243.00,1.44,6.02,96.23,86.63,144.00,49.95,1.11,243.00,1.44,6.02,96.23,86.63,144.00,49.95,63.01
735.00,4454.00,4579.00,1198.00,398.11,1.03,236.00,1.69,5.15,89.38,86.94,1198.00,0.33,1.03,236.00,1.69,5.15,89.38,86.94,1198.00,0.33,7.39
