,,,,,reach_x, impressions_x, amount_x, clicks_x, cpreach_x, cpm_x, engagement_x, cpr_x,reach_y, impressions_y, amount_y, clicks_y, cpreach_y, cpm_y, engagement_y, cpr_y,outcome
668.00,3343.00,7522.00,32.00,351.37,2.25,41.00,8.57,0.55,105.11,46.71,32.00,10.98,2.25,41.00,8.57,0.55,105.11,46.71,32.00,10.98,14.14
175.00,5864.00,6056.00,13.00,581.88,1.03,70.00,8.31,1.16,99.23,96.08,51.00,44.76,1.03,70.00,8.31,1.16,99.23,96.08,51.00,44.76,50.96
895.00,5144.00,5458.00,2.00,537.07,1.06,72.00,7.46,1.32,104.41,98.40,75.00,268.54,1.06,72.00,7.46,1.32,104.41,98.40,75.00,268.54,319.19
389.00,3605.00,3924.00,40.00,179.68,1.09,221.00,0.81,5.63,49.84,45.79,138.00,4.49,1.09,221.00,0.81,5.63,49.84,45.79,138.00,4.49,7.97
26.00,3024.00,3216.00,1.00,838.82,1.06,96.00,8.74,2.99,277.39,260.83,41.00,838.82,1.06,96.00,8.74,2.99,277.39,260.83,41.00,838.82,1001.06
258.00,3761.00,3958.00,1.00,502.38,1.05,63.00,7.97,1.59,133.58,126.93,28.00,502.38,1.05,63.00,7.97,1.59,133.58,126.93,28.00,502.38,598.52
242.00,3900.00,4180.00,2.00,773.06,1.07,94.00,8.22,2.25,198.22,184.94,48.00,386.53,1.07,94.00,8.22,2.25,198.22,184.94,48.00,386.53,461.50
519.00,6002.00,6217.00,5.00,1166.55,1.04,109.00,10.70,1.75,194.36,187.64,151.00,233.31,1.04,109.00,10.70,1.75,194.36,187.64,151.00,233.31,275.28
584.00,3473.00,3716.00,4.00,297.59,1.07,166.00,1.79,4.47,85.69,80.08,84.00,74.40,1.07,166.00,1.79,4.47,85.69,80.08,84.00,74.40,87.78
951.00,744.00,802.00,2.00,321.67,1.08,11.00,29.24,1.37,432.35,401.08,4.00,160.84,1.08,11.00,29.24,1.37,432.35,401.08,4.00,160.84,196.88
210.00,6280.00,6517.00,5.00,806.87,1.04,155.00,5.21,2.38,128.48,123.81,126.00,161.37,1.04,155.00,5.21,2.38,128.48,123.81,126.00,161.37,192.01
991.00,3633.00,4036.00,7.00,349.62,1.11,243.00,1.44,6.02,96.23,86.63,144.00,49.95,1.11,243.00,1.44,6.02,96.23,86.63,144.00,49.95,59.01
924.00,5060.00,5990.00,2.00,378.75,1.18,146.00,2.59,2.44,74.85,63.23,50.00,189.38,1.18,146.00,2.59,2.44,74.85,63.23,50.00,189.38,225.61
699.00,6554.00,6995.00,24.00,336.49,1.07,687.00,0.49,9.82,51.34,48.10,228.00,14.02,1.07,687.00,0.49,9.82,51.34,48.10,228.00,14.02,15.69
746.00,2227.00,2285.00,2.00,254.07,1.03,30.00,8.47,1.31,114.09,111.19,23.00,127.03,1.03,30.00,8.47,1.31,114.09,111.19,23.00,127.03,150.13
921.00,4629.00,4816.00,3.00,496.76,1.04,85.00,5.84,1.76,107.31,103.15,75.00,165.59,1.04,85.00,5.84,1.76,107.31,103.15,75.00,165.59,197.02
790.00,2912.00,2985.00,1.00,255.91,1.03,31.00,8.26,1.04,87.88,85.73,32.00,255.91,1.03,31.00,8.26,1.04,87.88,85.73,32.00,255.91,303.76
38.00,8262.00,8604.00,7.00,996.19,1.04,183.00,5.44,2.13,120.57,115.78,196.00,142.31,1.04,183.00,5.44,2.13,120.57,115.78,196.00,142.31,168.05
67.00,7482.00,8282.00,19.00,814.75,1.11,414.00,1.97,5.00,108.89,98.38,136.00,42.88,1.11,414.00,1.97,5.00,108.89,98.38,136.00,42.88,52.27
309.00,3123.00,3497.00,7.00,223.63,1.12,71.00,3.15,2.03,71.61,63.95,30.00,31.95,1.12,71.00,3.15,2.03,71.61,63.95,30.00,31.95,38.34
288.00,4342.00,4743.00,30.00,115.98,1.09,205.00,0.57,4.32,26.71,24.45,102.00,3.87,1.09,205.00,0.57,4.32,26.71,24.45,102.00,3.87,8.21
674.00,344.00,348.00,1.00,54.60,1.01,14.00,3.90,4.02,158.72,156.90,6.00,54.60,1.01,14.00,3.90,4.02,158.72,156.90,6.00,54.60,64.04
122.00,60.00,60.00,1.00,4.59,1.00,6.00,0.76,10.00,76.50,76.50,1.00,4.59,1.00,6.00,0.77,10.00,76.50,76.50,1.00,4.59,9.99
908.00,12320.00,12977.00,3.00,1004.16,1.05,199.00,5.05,1.53,81.51,77.38,109.00,334.72,1.05,199.00,5.05,1.53,81.51,77.38,109.00,334.72,397.93
243.00,4209.00,4452.00,4.00,534.86,1.06,82.00,6.52,1.84,127.08,120.14,34.00,133.72,1.06,82.00,6.52,1.84,127.08,120.14,34.00,133.72,159.22
367.00,2233.00,2313.00,16.00,130.27,1.04,105.00,1.24,4.54,58.34,56.32,67.00,8.14,1.04,105.00,1.24,4.54,58.34,56.32,67.00,8.14,10.84
649.00,4518.00,5085.00,2.00,348.17,1.13,235.00,1.48,4.62,77.06,68.47,94.00,174.09,1.13,235.00,1.48,4.62,77.06,68.47,94.00,174.09,204.84
443.00,3399.00,3618.00,636.00,279.58,1.06,686.00,0.41,18.96,82.25,77.27,636.00,0.44,1.06,686.00,0.41,18.96,82.25,77.27,636.00,0.44,2.03
1015.00,5910.00,6754.00,14.00,572.38,1.14,337.00,1.70,4.99,96.85,84.75,198.00,40.88,1.14,337.00,1.70,4.99,96.85,84.75,198.00,40.88,47.88
803.00,1489.00,1528.00,4.00,95.75,1.03,109.00,0.88,7.13,64.30,62.66,82.00,23.94,1.03,109.00,0.88,7.13,64.30,62.66,82.00,23.94,29.36
59.00,2004.00,2107.00,4.00,760.17,1.05,56.00,13.57,2.66,379.33,360.78,26.00,190.04,1.05,56.00,13.57,2.66,379.33,360.78,26.00,190.04,228.16
315.00,1948.00,2206.00,4.00,104.30,1.13,67.00,1.56,3.04,53.54,47.28,20.00,26.08,1.13,67.00,1.56,3.04,53.54,47.28,20.00,26.07,32.65
615.00,4091.00,4642.00,4.00,346.57,1.13,214.00,1.62,4.61,84.72,74.66,91.00,86.64,1.13,214.00,1.62,4.61,84.72,74.66,91.00,86.64,102.37
762.00,2859.00,2903.00,4.00,250.76,1.02,40.00,6.27,1.38,87.71,86.38,44.00,62.69,1.02,40.00,6.27,1.38,87.71,86.38,44.00,62.69,73.26
800.00,1099.00,1166.00,4.00,96.05,1.06,77.00,1.25,6.60,87.40,82.38,28.00,24.01,1.06,77.00,1.25,6.60,87.40,82.38,28.00,24.01,30.21
703.00,3698.00,4125.00,3.00,581.55,1.12,115.00,5.06,2.79,157.26,140.98,108.00,193.85,1.12,115.00,5.06,2.79,157.26,140.98,108.00,193.85,232.15
