"Campaign name","Ad set name","Ad name",Age,Gender,Objective,Day,Reach,Impressions,Frequency,"Amount spent (INR)","Result Type",Results,"Cost per result","Clicks (all)","CPC (all)","CTR (all)","Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Post engagement","Reporting starts","Reporting ends"
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,18-24,male,LEAD_GENERATION,2021-04-01,2404,2523,1.0495008319468,99.439923603793,"On-Facebook leads",5,19.887984720759,33,3.01333102,1.30796671,20,4.97199618,39.41336647,36,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,35-44,male,LEAD_GENERATION,2021-04-01,1644,1902,1.1569343065693,100.47981822972,"On-Facebook leads",7,14.354259747102,58,1.73241066,3.04942166,52,1.9323042,52.8285059,54,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,45-54,male,LEAD_GENERATION,2021-04-01,490,533,1.0877551020408,50.204912661101,"On-Facebook leads",1,50.204912661101,6,8.36748544,1.12570356,5,10.04098253,94.19308192,5,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,25-34,female,LEAD_GENERATION,2021-04-01,446,474,1.0627802690583,26.747289657129,"On-Facebook leads",2,13.373644828564,16,1.6717056,3.37552743,12,2.2289408,56.42888113,12,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,18-24,female,LEAD_GENERATION,2021-04-01,246,261,1.0609756097561,12.488734497852,,,,3,4.1629115,1.14942529,2,6.24436725,47.84955746,2,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,25-34,unknown,LEAD_GENERATION,2021-04-01,4,4,1,0.18998074896652,,,,1,0.18998075,25,1,0.18998075,47.49518724,1,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,55-64,male,LEAD_GENERATION,2021-04-01,112,143,1.2767857142857,8.049184364108,,,,4,2.01229609,2.7972028,3,2.68306145,56.28800255,3,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,45-54,female,LEAD_GENERATION,2021-04-01,54,58,1.0740740740741,1.7398237010618,"On-Facebook leads",1,1.7398237010618,5,0.34796474,8.62068966,5,0.34796474,29.99696036,5,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,65+,male,LEAD_GENERATION,2021-04-01,43,43,1,3.2096747588555,,,,0,,0,,,74.64359904,,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,45-54,unknown,LEAD_GENERATION,2021-04-01,2,2,1,0.069992907513982,,,,0,,0,,,34.99645376,,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,35-44,unknown,LEAD_GENERATION,2021-04-01,1,1,1,0.019997973575424,,,,0,,0,,,19.99797358,,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,18-24,unknown,LEAD_GENERATION,2021-04-01,0,1,0,0.019997973575424,,,,0,,0,,,19.99797358,,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,55-64,female,LEAD_GENERATION,2021-04-01,8,11,1.375,0.76992198265381,,,,1,0.76992198,9.09090909,1,0.76992198,69.99290751,1,2021-04-01,2021-04-01
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,65+,female,LEAD_GENERATION,2021-04-01,8,8,1,0.29996960363135,,,,0,,0,,,37.49620045,,2021-04-01,2021-04-01
