Reporting starts,Reporting ends,Campaign name,Campaign ID,Campaign delivery,Results,Result indicator,Reach,Impressions,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Objective,Frequency,Clicks (all),CPC (all) (INR),CTR (all),"Cost per 1,000 people reached (INR)","CPM (cost per 1,000 impressions) (INR)",Page engagement
2021-06-17,2021-06-17,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-17,2021-06-17,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-16,2021-06-16,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-16,2021-06-16,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-16,2021-06-16,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-16,2021-06-16,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-15,2021-06-15,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-15,2021-06-15,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-15,2021-06-15,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-15,2021-06-15,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-14,2021-06-14,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-14,2021-06-14,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-14,2021-06-14,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-14,2021-06-14,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-13,2021-06-13,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-13,2021-06-13,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-13,2021-06-13,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-13,2021-06-13,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-12,2021-06-12,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-12,2021-06-12,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-12,2021-06-12,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-12,2021-06-12,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-11,2021-06-11,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-11,2021-06-11,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-11,2021-06-11,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-11,2021-06-11,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-10,2021-06-10,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-10,2021-06-10,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-10,2021-06-10,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-10,2021-06-10,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-09,2021-06-09,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-09,2021-06-09,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-09,2021-06-09,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-09,2021-06-09,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-08,2021-06-08,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-08,2021-06-08,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-08,2021-06-08,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-08,2021-06-08,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-07,2021-06-07,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-07,2021-06-07,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-07,2021-06-07,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-07,2021-06-07,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-06,2021-06-06,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-06,2021-06-06,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-06,2021-06-06,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-06,2021-06-06,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-05,2021-06-05,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-05,2021-06-05,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-05,2021-06-05,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-05,2021-06-05,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-04,2021-06-04,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-04,2021-06-04,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-04,2021-06-04,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-04,2021-06-04,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-03,2021-06-03,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-03,2021-06-03,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2021-06-03,2021-06-03,Max-life-Pondy-31-Dec-20,6222462780557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-03,2021-06-03,MCKLEAN-STUDIO-OWN,6107484047957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2021-06-02,2021-06-02,Job: Sales Enthusiast,6235900176757,inactive,,,0,0,,74.98,Daily,0,CONVERSIONS,0,0,0,0,0,0,
2021-06-02,2021-06-02,Sales Recruitment - Test 8Apr21,6235521291757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
