Campaign name,Ad set name,Ad name,Age,Gender,Objective,Day,Reach,Impressions,Frequency,Amount spent (INR),Result Type,Results,Cost per result,Clicks (all),CPC (all),CTR (all),Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",Post engagement,Reporting starts,Reporting ends
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,18-24,male,LEAD_GENERATION,2021-11-04,1330,1432,1.0766917293233,169.81,On-Facebook leads,1,169.81,27,6.28925926,1.88547486,3,56.60333333,118.58240223,4,2021-11-04,2021-11-04
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,25-34,male,LEAD_GENERATION,2021-11-04,1636,1726,1.0550122249389,247.84,On-Facebook leads,1,247.84,39,6.35487179,2.25955968,10,24.784,143.59212051,12,2021-11-04,2021-11-04
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,25-34,male,LEAD_GENERATION,2021-11-03,1861,1988,1.068242880172,243.01,On-Facebook leads,1,243.01,24,10.12541667,1.20724346,6,40.50166667,122.23843058,7,2021-11-03,2021-11-03
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,18-24,male,LEAD_GENERATION,2021-11-03,1496,1614,1.0788770053476,209.7,On-Facebook leads,1,209.7,28,7.48928571,1.73482032,7,29.95714286,129.92565056,8,2021-11-03,2021-11-03
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,25-34,female,LEAD_GENERATION,2021-11-03,163,179,1.0981595092025,18.12,On-Facebook leads,1,18.12,3,6.04,1.67597765,1,18.12,101.22905028,1,2021-11-03,2021-11-03
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,18-24,male,LEAD_GENERATION,2021-11-03,1884,1989,1.0557324840764,382.72,On-Facebook leads,1,382.72,25,15.3088,1.25691302,6,63.78666667,192.41830065,6,2021-11-03,2021-11-03
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,18-24,female,LEAD_GENERATION,2021-11-03,168,178,1.0595238095238,30.13,On-Facebook leads,1,30.13,6,5.02166667,3.37078652,2,15.065,169.26966292,2,2021-11-03,2021-11-03
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,18-24,male,LEAD_GENERATION,2021-11-03,574,615,1.0714285714286,90.63,On-Facebook leads,1,90.63,9,10.07,1.46341463,2,45.315,147.36585366,4,2021-11-03,2021-11-03
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,65+,male,LEAD_GENERATION,2021-11-02,79,92,1.1645569620253,10.46,On-Facebook leads,1,10.46,11,0.95090909,11.95652174,2,5.23,113.69565217,2,2021-11-02,2021-11-02
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,18-24,male,LEAD_GENERATION,2021-11-02,1341,1483,1.1058911260254,201.78,On-Facebook leads,4,50.445,50,4.0356,3.37154417,10,20.178,136.06203641,11,2021-11-02,2021-11-02
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,45-54,male,LEAD_GENERATION,2021-11-02,267,285,1.0674157303371,45.97,On-Facebook leads,1,45.97,14,3.28357143,4.9122807,3,15.32333333,161.29824561,3,2021-11-02,2021-11-02
